icd_geodeticposition3d,header,seq_num,timestamp_arrival,sec,nsec,timestamp_valid,sec,nsec,device_id,position,latitude,longitude,altitude,covariance,,
0,,0,,1539368556,675574064,,604,341999999,,,0.686684798328,-1.50147871678,-3.584,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368556,981719017,,604,543000000,,,0.686684798328,-1.50147871503,-3.541,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368557,237759113,,604,942999999,,,0.686684798328,-1.50147871678,-3.501,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368557,493376016,,605,142000000,,,0.686684796583,-1.50147871678,-3.46,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368557,798690080,,605,542000000,,,0.686684796583,-1.50147871678,-3.422,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,4523992,,605,743000000,,,0.686684794838,-1.50147871678,-3.396,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,260087013,,605,942999999,,,0.686684793092,-1.50147871678,-3.366,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,566253900,,606,342999999,,,0.686684794838,-1.50147871503,-3.329,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,821628093,,606,543000000,,,0.686684798328,-1.50147871852,-3.304,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368559,228355884,,606,741999999,,,0.686684803564,-1.50147872201,-3.304,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368559,382788896,,607,143000000,,,0.686684810546,-1.5014787255,-3.302,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368559,688937902,,607,342999999,,,0.686684817527,-1.50147872376,-3.285,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368560,45016050,,607,743000000,,,0.686684821018,-1.50147871678,-3.263,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368560,351039886,,607,942999999,,,0.686684822763,-1.50147871154,-3.25,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368560,506055116,,608,142000000,,,0.686684824508,-1.50147870805,-3.255,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368560,812122106,,608,543000000,,,0.686684826254,-1.50147870456,-3.28,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368561,67909955,,608,743000000,,,0.686684826254,-1.50147869758,-3.315,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368561,323530912,,608,942000000,,,0.686684826254,-1.50147869234,-3.336,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368561,629848003,,609,341999999,,,0.686684824508,-1.50147868711,-3.346,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368561,885543107,,609,543000000,,,0.686684822763,-1.50147867838,-3.364,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368562,140490055,,609,743000000,,,0.686684817527,-1.50147866965,-3.385,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368562,396266937,,610,143000000,,,0.686684814036,-1.50147866093,-3.396,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368562,651748895,,610,341999999,,,0.6866848088,-1.50147864871,-3.407,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368562,958415031,,610,542000000,,,0.686684803564,-1.50147863824,-3.413,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368563,264878034,,610,942999999,,,0.686684803564,-1.50147862776,-3.428,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368563,520647048,,611,142000000,,,0.686684801819,-1.50147861555,-3.442,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368563,775080919,,611,342999999,,,0.686684801819,-1.50147860682,-3.456,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368564,80271005,,611,741999999,,,0.686684801819,-1.50147859809,-3.458,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368564,285523891,,611,923000000,,,0.686684801819,-1.50147858762,-3.46,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368564,540996074,,612,142000000,,,0.686684803564,-1.5014785789,-3.458,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368564,847132921,,612,542000000,,,0.68668480531,-1.50147857191,-3.467,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368565,52210092,,612,743000000,,,0.68668480531,-1.50147856668,-3.469,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368565,308070898,,612,942000000,,,0.68668480531,-1.5014785597,-3.448,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368565,563937902,,613,341999999,,,0.686684803564,-1.50147855272,-3.431,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368565,870946884,,613,542000000,,,0.686684801819,-1.50147854573,-3.422,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368566,126955032,,613,741999999,,,0.686684800074,-1.5014785405,-3.414,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368566,433716058,,614,143000000,,,0.686684798328,-1.50147853352,-3.401,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368566,637866973,,614,342999999,,,0.686684796583,-1.50147852828,-3.399,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368566,893362998,,614,542000000,,,0.686684796583,-1.50147852479,-3.399,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368567,200063943,,614,942000000,,,0.686684796583,-1.50147852479,-3.404,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368567,456185102,,615,142000000,,,0.686684796583,-1.50147852654,-3.394,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368567,711330890,,615,341999999,,,0.686684794838,-1.50147852479,-3.382,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368568,17657041,,615,741999999,,,0.686684793092,-1.5014785213,-3.367,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368568,273226976,,615,962999999,,,0.686684793092,-1.50147851955,-3.354,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368568,528242111,,616,143000000,,,0.686684793092,-1.50147851606,-3.34,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368568,783446073,,616,542000000,,,0.686684791347,-1.50147851257,-3.331,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368569,38872003,,616,743000000,,,0.686684791347,-1.50147850908,-3.32,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368569,345808029,,617,123000000,,,0.686684791347,-1.50147850385,-3.303,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368569,601475000,,617,341999999,,,0.686684787856,-1.50147849861,-3.28,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368569,856759071,,617,542000000,,,0.686684786111,-1.50147849163,-3.275,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368570,163249015,,617,923000000,,,0.686684784366,-1.50147848814,-3.271,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368570,470040082,,618,123000000,,,0.68668478262,-1.5014784829,-3.268,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368570,776161909,,618,322000000,,,0.686684780875,-1.50147847767,-3.26,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368571,31153917,,618,722999999,,,0.68668477913,-1.50147847243,-3.251,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368571,336599111,,618,923000000,,,0.68668477913,-1.50147846719,-3.252,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368571,541574954,,619,123000000,,,0.68668477913,-1.5014784637,-3.264,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368571,847846031,,619,542000000,,,0.686684777384,-1.5014784637,-3.308,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368572,103342056,,619,741999999,,,0.686684777384,-1.50147845847,-3.357,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368572,409864902,,620,142000000,,,0.68668477913,-1.50147845149,-3.394,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368572,664510965,,620,341999999,,,0.68668477913,-1.5014784445,-3.426,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368572,970299005,,620,522000000,,,0.686684780875,-1.50147843578,-3.466,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368573,226252079,,620,942000000,,,0.68668477913,-1.50147842705,-3.496,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
