icd_velocity3d,header,seq_num,timestamp_arrival,sec,nsec,timestamp_valid,sec,nsec,device_id,x,y,z,covariance,,
0,,0,,1539368556,675574064,,604,341999999,,0.02,0.03,-0.18,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368556,675808906,,604,422000000,,-0.109610341489,0.286561727524,-0.105433359742,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368556,981719017,,604,543000000,,-0.02,0.02,-0.15,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368556,981985092,,604,721000000,,0.0937674418092,0.115952670574,-0.123998336494,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368557,237759113,,604,942999999,,-0.01,0.05,-0.19,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368557,238023042,,604,981999999,,-0.0664337575436,0.188119024038,-0.118884839118,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368557,493376016,,605,142000000,,0.14,-0.03,-0.1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368557,493603944,,605,263000000,,0.0918569788337,0.0944824963808,-0.136083647609,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368557,798690080,,605,542000000,,0.0,0.0,-0.16,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368557,799016952,,605,543000000,,0.0766998827457,0.103529751301,-0.117068454623,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,4523992,,605,743000000,,-0.07,0.05,-0.21,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,4761934,,605,802000000,,-0.0263613965362,0.163725912571,-0.101713061333,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,260087013,,605,942999999,,0.01,0.04,-0.14,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,260319948,,606,62999999,,-0.0838271901011,0.131339669228,-0.104621648788,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,566253900,,606,342999999,,-0.02,-0.06,-0.16,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,566529035,,606,342999999,,0.0468363873661,0.107446409762,-0.107302360237,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,821628093,,606,543000000,,0.0,0.0,-0.09,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368558,821862936,,606,621999999,,-0.120522066951,0.159917712212,-0.10487125814,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368559,228355884,,606,741999999,,0.0,0.02,-0.14,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368559,228620052,,606,922000000,,0.110950499773,0.0203325748444,-0.0985523685813,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368559,382788896,,607,143000000,,0.07,0.11,-0.34,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368559,383044004,,607,182000000,,0.0625930055976,0.0393557623029,-0.103137597442,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368559,688937902,,607,342999999,,-0.16,0.26,-0.31,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368559,689192056,,607,462999999,,-0.0709832906723,0.102814920247,-0.0778210610151,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
0,,0,,1539368560,45016050,,607,743000000,,-0.09,0.0,-0.14,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
