icd_ins,header,seq_num,timestamp_arrival,sec,nsec,timestamp_valid,sec,nsec,device_id,position,latitude,longitude,altitude,position_covariance,,,acceleration,,,angular_rate,,
0,,0,,1539368556,546562910,,1319,450713999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",205.0,-20.0,-989.0,-130000.0,74000.0,-13000.0
0,,0,,1539368556,648842096,,1319,550495999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",199.0,40.0,-850.0,-108000.0,81000.0,-13000.0
0,,0,,1539368556,750662088,,1319,670370999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",113.0,-153.0,-1052.0,165000.0,-38000.0,21000.0
0,,0,,1539368556,852718114,,1319,750567999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",181.0,12.0,-920.0,-81000.0,26000.0,-32000.0
0,,0,,1539368556,954885005,,1319,850809000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",154.0,54.0,-962.0,-10000.0,-28000.0,0.0
0,,0,,1539368557,56716918,,1319,950329999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",224.0,167.0,-944.0,-4000.0,0.0,2000.0
0,,0,,1539368557,158945083,,1320,50420000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",131.0,-174.0,-1162.0,138000.0,-50000.0,8000.0
0,,0,,1539368557,261404991,,1320,170583999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",209.0,170.0,-974.0,0.0,3000.0,4000.0
0,,0,,1539368557,363352060,,1320,270250999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",160.0,2.0,-975.0,121000.0,-15000.0,5000.0
0,,0,,1539368557,465257883,,1320,350470999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",190.0,6.0,-1000.0,19000.0,-36000.0,12000.0
0,,0,,1539368557,568284034,,1320,450583000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",165.0,5.0,-950.0,-94000.0,19000.0,-23000.0
0,,0,,1539368557,619695901,,1320,550428000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",186.0,-6.0,-899.0,-73000.0,32000.0,-33000.0
0,,0,,1539368557,772825956,,1320,670519000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",213.0,46.0,-852.0,-167000.0,107000.0,-25000.0
0,,0,,1539368557,874953031,,1320,750393999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",165.0,34.0,-996.0,-7000.0,-33000.0,0.0
0,,0,,1539368557,976749897,,1320,850533999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",190.0,145.0,-939.0,-3000.0,6000.0,-2000.0
0,,0,,1539368558,78819036,,1320,990125000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",207.0,18.0,-855.0,-161000.0,109000.0,-20000.0
0,,0,,1539368558,131109952,,1321,50322000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",113.0,-255.0,-1216.0,89000.0,-25000.0,16000.0
0,,0,,1539368558,233313083,,1321,150803999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",208.0,6.0,-893.0,-57000.0,61000.0,-1000.0
0,,0,,1539368558,385540008,,1321,270221999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",132.0,-65.0,-1012.0,165000.0,-35000.0,11000.0
0,,0,,1539368558,488002061,,1321,370349000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",177.0,-143.0,-1132.0,-6000.0,11000.0,6000.0
0,,0,,1539368558,540172100,,1321,450417000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",163.0,27.0,-874.0,-21000.0,-17000.0,2000.0
0,,0,,1539368558,642081975,,1321,550365999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",159.0,40.0,-975.0,-12000.0,-33000.0,-1000.0
0,,0,,1539368558,795787096,,1321,670350999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",185.0,3.0,-962.0,-32000.0,1000.0,-9000.0
0,,0,,1539368558,846976041,,1321,750526999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",170.0,81.0,-956.0,54000.0,-2000.0,3000.0
0,,0,,1539368558,948718070,,1321,850522999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",108.0,-128.0,-1082.0,169000.0,-42000.0,22000.0
0,,0,,1539368559,52099943,,1321,970431999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",158.0,26.0,-964.0,0.0,-39000.0,9000.0
0,,0,,1539368559,153595924,,1322,70287999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",183.0,66.0,-1010.0,2000.0,-12000.0,3000.0
0,,0,,1539368559,255748987,,1322,150416999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",185.0,-119.0,-1124.0,-13000.0,26000.0,14000.0
0,,0,,1539368559,358309984,,1322,250399999,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",210.0,69.0,-828.0,-168000.0,108000.0,-31000.0
0,,0,,1539368559,459784030,,1322,350363000,,,0.0,0.0,0.0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",206.0,-3.0,-1008.0,70000.0,-45000.0,32000.0
